Picture_combination,Ft_num,Area_num,Volume_num,SER_num,Ft_ana,Area_ana,Volume_ana,SER_ana
Test-1-parC.jpg<>Test-1-parC.jpg,0.7917225,116830.723976272,2384784,61.2369054689159,0.784409405849621,87402.5508365109,1873173.75081363,64.294705345069
Test-1-parC.jpg<>Test-1-parC_2.jpg,0.7932525,117200.602278551,2374656,60.7843975329448,0.785842667311804,87936.4318535354,1897620.1874851,64.7383620469977
Test-1-parC_2.jpg<>Test-1-parC.jpg,0.795785,119840.208002838,2443976,61.1808684429716,0.785259249939691,89517.8019401568,1926677.34987795,64.5685207228148
Test-1-parC_2.jpg<>Test-1-parC_2.jpg,0.7951875,118889.973926615,2437672,61.5107881553913,0.786696637012696,90065.5393636418,1951929.60724255,65.0169738959177
Mean,0.793986875,118190.377046069,2410272,61.1782399000559,0.785551990028453,88730.5809984612,1912350.22385481,64.6546405026998
Standard_deviation,0.00185665063016713,1418.88319249171,35612.9995741256,0.299526687996139,0.000963657160141817,1264.4060032608,34271.2909047592,0.302910723374939
